Celltype,Sign,Araw,thpraw(s),tlpraw(s),R2raw,Adeconv,thpdeconv(s),tlpdeconv(s),R2tdeconv,Asur/Acen,FWHMcen(deg),FWHMsur(deg),R2s
Tm1,-1,1.419,0.632,0.271,0.978,1.117,0.296,0.044,0.895,0.04,8.12,27.14,0.997
Tm2,-1,1.068,0.962,0.113,0.979,1.038,0.153,0.014,0.893,0.035,7.93,30.52,0.994
Tm4,-1,1.218,0.788,0.186,0.972,1.018,0.249,0.024,0.807,0.054,11.45,34.64,0.992
Tm9,-1,0.961,,0.462,0.985,0.827,,0.017,0.273,0.046,6.92,26.78,0.995
